unique(rios_data_token3it$it_tokens_3w),dei_related
work think pair,FALSE
low stakes assignments,TRUE
productive discussions use,FALSE
high throughput databases,FALSE
quantitative skills instructors,FALSE
submit completed cases,FALSE
alternative formats including,TRUE
formats including audio,FALSE
laboratory series provides,FALSE
series provides authentic,TRUE
provides authentic research,TRUE
authentic research opportunities,TRUE
research opportunities embedded,TRUE
many students find,TRUE
students find summer,TRUE
find summer research,FALSE
summer research opportunities,TRUE
demanding highly competitive,FALSE
less accessible due,TRUE
students obligations outside,TRUE
school course embedded,FALSE
course embedded research,FALSE
embedded research opportunities,TRUE
research opportunities allow,TRUE
different attitudes toward,TRUE
attitudes toward science,TRUE
toward science different,FALSE
science different preferences,FALSE
computational data analysis,FALSE
prior knowledge work,FALSE
knowledge work together,TRUE
laboratory series involves,FALSE
series involves investigating,FALSE
involves investigating plant,FALSE
investigating plant genetics,FALSE
topic frequently omitted,FALSE
genetics courses thus,FALSE
courses thus attempting,FALSE
address plant awareness,TRUE
plant awareness disparity,TRUE
awareness disparity lack,TRUE
plant related topics,FALSE
many college biology,FALSE
college biology courses,FALSE
biology courses students,TRUE
courses students discuss,TRUE
students discuss observe,TRUE
giving students opportunities,TRUE
allow students time,TRUE
different computational tools,FALSE
given assignments building,TRUE
fair biology classroom,TRUE
integrate culturally diverse,TRUE
used molecular modeling,FALSE
cultivate divergent biological,TRUE
divergent biological thinking,TRUE
ask open ended,FALSE
open ended questions,FALSE
assignment contained open,TRUE
contained open ended,FALSE
ended questions answers,FALSE
communication promoting engagement,TRUE
molecular visualization tools,TRUE
industrial research efforts,FALSE
possible therapeutic interventions,FALSE
use random call,FALSE
help increase inclusivity,TRUE
strategy explicitly referencing,FALSE
males volunteer answers,TRUE
make random call,FALSE
random call less,FALSE
call less threatening,FALSE
highly structured process,FALSE
structured process following,FALSE
process following many,FALSE
use inclusive language,TRUE
answer student x,FALSE
frame random call,FALSE
particular student students,TRUE
random call list,FALSE
pre course survey,FALSE
frequently use short,FALSE
use short unscripted,FALSE
short unscripted statements,TRUE
students rightful presence,TRUE
students intrinsic value,TRUE
students frequently feel,TRUE
frequently feel imposter,TRUE
feel imposter syndrome,TRUE
seek study groups,FALSE
can still succeed,TRUE
use positive language,FALSE
frame student responses,FALSE
encourage continued discussion,TRUE
simply ask students,TRUE
students can raise,TRUE
selection one drawback,FALSE
can stigmatize students,TRUE
students may lose,TRUE
hearing d hh,FALSE
d hh students,TRUE
based access services,TRUE
may include sign,FALSE
include sign language,FALSE
sign language interpreters,TRUE
real time captionists,TRUE
time captionists depending,TRUE
inclusive learning environment,TRUE
puzzle activity includes,FALSE
activity includes two,FALSE
includes two roles,FALSE
metacognitive skills particularly,TRUE
skills particularly monitoring,TRUE
identity intersect can,TRUE
classroom around diversity,TRUE
extracting energy often,FALSE
energy often shifts,FALSE
rural urban differences,TRUE
presented modeling respectful,TRUE
modeling respectful behavior,TRUE
learning community within,TRUE
collaboration using randomized,TRUE
using randomized groups,FALSE
randomized groups also,FALSE
groups also helps,TRUE
also helps students,TRUE
may not usually,FALSE
not usually hear,FALSE
current classroom environment,TRUE
instructor can ask,FALSE
paper sparked debate,FALSE
create inclusive environments,TRUE
comfortable contributing no,TRUE
contributing no matter,TRUE
paper everyone can,TRUE
everyone can participate,TRUE
research questions posed,FALSE
data provided also,FALSE
provided also inherent,FALSE
question whether gender,TRUE
binary variable however,TRUE
research can also,FALSE
not feeling prepared,TRUE
highly politicized issue,FALSE
researcher uses gender,TRUE
healthcare facilities collected,TRUE
facilities collected data,FALSE
assumes two values,TRUE
two values male,TRUE
actually mean sex,TRUE
niblse include instructor,FALSE
include instructor resources,FALSE
no bioinformatics expertise,FALSE
no bioinformatics experience,FALSE
students work together,TRUE
traditional lecture environment,TRUE
argumentation module within,TRUE
real life relevance,FALSE
increase student motivation,TRUE
no single right,TRUE
single right answer,TRUE
also used multiple,FALSE
low stakes assessments,TRUE
display diverse ideas,TRUE
inviting small groups,FALSE
students cultural funds,TRUE
culturally driven interpretations,TRUE
NA NA NA,FALSE
income level living,TRUE
level living arrangement,TRUE
easily available kitchen,FALSE
available kitchen ingredients,FALSE
digital camera instructors,FALSE
consider using flours,FALSE
diverse cultures sequences,TRUE
domesticated grains can,FALSE
food crops makes,FALSE
applied disciplines related,FALSE
biology including nutrition,FALSE
including nutrition food,FALSE
nutrition food science,FALSE
visual auditory sensory,TRUE
auditory sensory input,TRUE
sensory input makes,TRUE
laboratory particularly helpful,TRUE
jigsaw method leverages,FALSE
method leverages different,FALSE
leverages different student,FALSE
different student abilities,TRUE
expert conference step,FALSE
conference step enables,FALSE
step enables students,TRUE
data analysis exercise,FALSE
day two also,FALSE
two also illustrates,FALSE
gallery walk simulates,FALSE
brief scientific poster,FALSE
scientific poster session,FALSE
peers providing students,TRUE
contain images provide,FALSE
images provide written,FALSE
provide written instruction,FALSE
facilitate discussion amongst,FALSE
auditory learners given,TRUE
stony brook university,FALSE
brook university consists,FALSE
highly diverse population,TRUE
can easily divide,FALSE
freely available random,FALSE
available random name,FALSE
random name picking,FALSE
name picking software,FALSE
picking software called,FALSE
software called wheel,FALSE
called wheel decide,FALSE
instructor selection biases,TRUE
students feel welcomed,TRUE
establish classroom etiquette,FALSE
classroom etiquette similar,FALSE
support one another,FALSE
judgement free manner,TRUE
ice breaker activity,FALSE
breaker activity called,FALSE
activity called catch,FALSE
faculty threw around,FALSE
instructors can familiarize,FALSE
ensure class material,FALSE
students can access,TRUE
provide hard copies,FALSE
also hold office,FALSE
hold office hours,FALSE
discussion boards available,FALSE
everybody can benefit,FALSE
discussions moreover based,FALSE
class assessments see,TRUE
class content receive,FALSE
content receive extra,FALSE
receive extra support,FALSE
module ensures equity,TRUE
ensuring students receive,TRUE
small groups students,TRUE
groups students answer,TRUE
students answer questions,TRUE
group student experiences,FALSE
several factors including,FALSE
factors including drug,FALSE
including drug therapy,FALSE
drug therapy protocol,FALSE
therapy protocol assigned,FALSE
protocol assigned previous,FALSE
assigned previous experience,FALSE
previous experience taking,FALSE
experience taking regular,FALSE
taking regular medication,FALSE
class work schedules,FALSE
small group discussion,FALSE
group discussion allows,FALSE
discussion allows students,TRUE
class wide discussion,FALSE
wide discussion students,TRUE
discussion students can,TRUE
students can compare,TRUE
response software poll,FALSE
software poll everywhere,FALSE
questions response software,FALSE
response software allows,FALSE
software allows students,TRUE
may otherwise not,FALSE
otherwise not feel,FALSE
not feel comfortable,TRUE
feel comfortable speaking,TRUE
whole class students,TRUE
class students also,TRUE
students also often,TRUE
also often discuss,FALSE
can observe public,TRUE
observe public attitudes,TRUE
united states hiv,FALSE
states hiv aids,FALSE
hiv aids disproportionally,FALSE
aids disproportionally affects,FALSE
disproportionally affects members,TRUE
lgbtq black african,TRUE
black african american,TRUE
hispanic latino communities,TRUE
provide professional development,TRUE
biology short sessions,FALSE
multiple days offered,FALSE
days offered free,FALSE
institutionally diverse cohort,TRUE
proceedings workshop content,FALSE
workshop content also,FALSE
content also emphasized,FALSE
also emphasized cost,FALSE
emphasized cost effective,FALSE
cost effective virtual,FALSE
almost entirely text,FALSE
entirely text based,FALSE
image alt text,TRUE
alt text tags,TRUE
group discussion following,FALSE
discussion following large,FALSE
following large group,FALSE
large group report,FALSE
group report outs,FALSE
report outs gives,FALSE
well reasoned response,FALSE
also broadly applicable,FALSE
produce research reports,FALSE
example one study,FALSE
one study suggests,FALSE
plagiarism might help,FALSE
might help address,TRUE
inclusive teaching practices,TRUE
teaching practices related,FALSE
community building students,TRUE
discuss poll questions,FALSE
poll questions poll,FALSE
questions poll questions,FALSE
grading policy encourages,TRUE
policy encourages students,TRUE
combat various societal,TRUE
various societal challenges,TRUE
societal challenges including,TRUE
challenges including conservation,FALSE
may hold perspectives,TRUE
lesson students disagreed,TRUE
students disagreed regarding,TRUE
disagreed regarding whether,FALSE
regarding whether current,FALSE
mass extinction event,FALSE
extinction event students,TRUE
event students also,TRUE
students also held,TRUE
also held differing,FALSE
held differing views,TRUE
differences discussion remained,TRUE
discussion remained respectful,TRUE
consider creating community,TRUE
creating community guidelines,TRUE
appropriate discussion behaviors,FALSE
discussion behaviors student,FALSE
behaviors student socioeconomic,TRUE
student socioeconomic diversity,TRUE
also considered throughout,FALSE
prevent economic barriers,TRUE
economic barriers students,TRUE
assessment questions can,TRUE
not require outside,FALSE
require outside resources,FALSE
also expose students,TRUE
marjorie courtenay latimer,FALSE
woman museum curators,TRUE
coelacanth specimen supporting,TRUE
specimen supporting file,TRUE
mass extinction class,FALSE
extinction class session,FALSE
highlighting scientific contributions,FALSE
scientific contributions made,FALSE
desired learning objectives,FALSE
learning objectives including,FALSE
objectives including discussion,FALSE
including discussion writing,FALSE
discussion writing images,FALSE
poll questions similarly,FALSE
questions similarly students,TRUE
offered multiple formats,FALSE
assessment questions including,TRUE
questions including written,FALSE
terms flashy birds,FALSE
indicate bird sexes,TRUE
bird sexes characterized,TRUE
coloration distinct patterns,TRUE
less flashy birds,FALSE
subdued coloration less,TRUE
coloration less vibrant,TRUE
less vibrant patterns,FALSE
bird species follow,FALSE
avoid supporting misconceptions,TRUE
supporting misconceptions related,TRUE
engage many students,TRUE
use multiple senses,FALSE
creating flashy birds,FALSE
activity requires students,TRUE
form novel connections,TRUE
course learning objectives,FALSE
solve crossword puzzles,FALSE
crossword puzzles role,FALSE
puzzles role play,FALSE
entire class thus,FALSE
class thus students,TRUE
using multiple senses,FALSE
oral visual mechanical,TRUE
escape room activity,FALSE
room activity students,TRUE
lesson one particularly,TRUE
one particularly strong,TRUE
particularly strong example,TRUE
also allows students,TRUE
explore evolutionary biologists,FALSE
summarize three novel,FALSE
three novel things,FALSE
zoom breakout rooms,FALSE
breakout rooms interact,TRUE
two day lesson,FALSE
case studies used,FALSE
parasitology involve human,TRUE
involve human health,TRUE
example lecture material,FALSE
course included discussions,FALSE
disproportionately affect people,FALSE
affect people living,TRUE
associate parasite risk,FALSE
invoke colonialist assumptions,TRUE
public health infrastructure,TRUE
environment related topics,TRUE
social equity public,TRUE
equity public health,TRUE
socio scientific issues,TRUE
scientific issues framework,FALSE
hookworm infection anemia,FALSE
impaired cognitive development,TRUE
subsequent public health,TRUE
public health initiatives,TRUE
health initiatives funded,TRUE
john d rockefeller,FALSE
narrative conveys real,FALSE
conveys real historical,TRUE
real historical events,TRUE
commonly used structure,FALSE
story tacitly reinforces,FALSE
tacitly reinforces harmful,FALSE
reinforces harmful stereotypes,TRUE
also ignores important,FALSE
ignores important historical,TRUE
important historical context,TRUE
public messaging around,TRUE
role scientific information,FALSE
subsequent interpretation play,FALSE
public narratives see,TRUE
mixed active learning,TRUE
active learning approach,TRUE
learning approach used,FALSE
lesson provides diverse,TRUE
provides diverse forms,TRUE
case narrative can,FALSE
narrative can facilitate,FALSE
can facilitate connections,TRUE
discussions among students,TRUE
known someone affected,FALSE
card game metastatic,FALSE
game metastatic mastery,FALSE
metastatic mastery provides,FALSE
minimizes student discomfort,FALSE
non gendered pronouns,TRUE
case study facilitates,FALSE
study facilitates inclusive,TRUE
facilitates inclusive teaching,TRUE
course includes varied,FALSE
includes varied types,FALSE
instruction discussion hands,TRUE
activities open ended,FALSE
open ended inquiry,FALSE
ended inquiry mini,FALSE
inquiry mini lectures,FALSE
inclusive teaching strategies,TRUE
low stakes formative,FALSE
stakes formative feedback,FALSE
designed using principles,FALSE
transparency practices detailed,TRUE
practices detailed rubrics,FALSE
research mentors rather,TRUE
primary journal articles,TRUE
student generated data,FALSE
generated data take,FALSE
data take place,FALSE
group discussion peer,FALSE
discussion peer instruction,FALSE
instructor led lectures,FALSE
mentored research experience,TRUE
research experience accessible,TRUE
together can help,TRUE
can help students,TRUE
help students develop,TRUE
duquesne university granting,FALSE
university granting equal,TRUE
granting equal access,TRUE
experimental procedures regardless,TRUE
religious beliefs related,TRUE
diversity provides source,TRUE
provides source material,FALSE
source material upon,FALSE
natural selection can,FALSE
selection can act,FALSE
course content fosters,TRUE
content fosters appreciation,TRUE
case studies using,FALSE
jigsaw method rely,FALSE
group case studies,FALSE
case studies create,FALSE
structured small group,FALSE
single correct answer,FALSE
individual learning stages,TRUE
learning stages students,TRUE
can take notes,FALSE
oral summary students,TRUE
time limit many,FALSE
limit many students,TRUE
many students used,TRUE
prepared oral summary,FALSE
promotes individual ownerships,TRUE
groupwork student groups,FALSE
shuffled allowing communication,FALSE
allowing communication among,FALSE
communication among students,TRUE
may not interact,TRUE
increasing within group,FALSE
within group cognitive,FALSE
group cognitive cultural,TRUE
cognitive cultural gender,TRUE
hidden identities diversity,TRUE
identities diversity increasing,TRUE
diversity increasing diversity,TRUE
groupwork can improve,FALSE
can improve group,FALSE
improve group level,FALSE
group level problem,FALSE
level problem solving,FALSE
given specific times,FALSE
others contributions ensuring,FALSE
equally distributed among,TRUE
distributed among group,FALSE
among group members,TRUE
group members provides,TRUE
students inclusive group,TRUE
inclusive group work,TRUE
group level learning,FALSE
improve student learning,FALSE
experiences regarding biology,FALSE
lesson introduces risk,FALSE
introduces risk assessment,TRUE
interesting start point,TRUE
risk assessment additionally,TRUE
assessment additionally students,TRUE
computer microsoft excel,FALSE
readily available even,FALSE
limited resources due,FALSE
online learning schools,FALSE
learning schools normally,FALSE
schools normally provide,FALSE
normally provide free,FALSE
provide free computers,FALSE
complete online coursework,FALSE
free microsoft excel,FALSE
not available students,TRUE
available students can,TRUE
students can use,TRUE
can use google,FALSE
use google doc,FALSE
google sheet free,FALSE
complete data analysis,FALSE
also recommend think,TRUE
recommend think pair,TRUE
students across personality,TRUE
across personality types,TRUE
actively encourages group,TRUE
encourages group learning,TRUE
students across different,TRUE
across different disciplines,FALSE
public health professional,TRUE
health professional can,TRUE
professional can swab,FALSE
can swab different,FALSE
swab different surfaces,FALSE
athletic nutrition major,FALSE
nutrition major may,FALSE
major may test,FALSE
may test agar,FALSE
test agar medias,FALSE
lecture material much,FALSE
group oriented option,FALSE
oriented option included,FALSE
student exclusion see,TRUE
common issues section,FALSE
dna damaging agent,FALSE
many students discussing,TRUE
students discussing nuclear,TRUE
discussing nuclear radiation,FALSE
long term implications,FALSE
students collect measurements,TRUE
class dataset students,TRUE
dataset students analyze,TRUE
collaboration peer review,TRUE
peer review also,FALSE
review also provided,FALSE
also provided students,TRUE
lab work since,FALSE
work since introductory,FALSE
since introductory biology,FALSE
entire undergraduate time,FALSE
different institutions students,TRUE
institutions students also,TRUE
students also use,TRUE
also use multiple,FALSE
use multiple methods,FALSE
plants visually collect,TRUE
visually collect quantitative,TRUE
collect quantitative data,FALSE
also gain experience,FALSE
non quantitative data,FALSE
two stage exams,FALSE
stage exams can,FALSE
initial practice exam,FALSE
discussion time encouraging,TRUE
time encouraging respect,TRUE
participants encouraging every,TRUE
encouraging every student,TRUE
make sure everyone,TRUE
treated well regardless,TRUE
activity involves cooperative,TRUE
involves cooperative group,TRUE
cooperative group work,TRUE
pre assign groups,FALSE
not work enabling,FALSE
work enabling students,TRUE
every group member,TRUE
discourage student isolation,TRUE
group determine roles,FALSE
facilitator recorder presenter,TRUE
encourage individual accountability,TRUE
positions can rotate,FALSE
large enrollment course,TRUE
enrollment course students,TRUE
small pre determined,FALSE
pre determined groups,FALSE
classroom students work,TRUE
small groups throughout,FALSE
group work focused,FALSE
work focused days,FALSE
design element allows,TRUE
element allows students,TRUE
structured seating arrangements,TRUE
seating arrangements instructors,TRUE
participate students may,TRUE
students may arrange,TRUE
modified dd activity,FALSE
faculty instructor allowing,FALSE
instructors la ta,FALSE
promoting equitable group,TRUE
equitable group interactions,TRUE
identity safe classroom,TRUE
safe classroom environment,TRUE
explicit articulated expectations,TRUE
agreed upon policy,FALSE
upon policy recommendation,TRUE
policy recommendation related,TRUE
topic group roles,FALSE
student additionally assigns,TRUE
consensus allowing students,TRUE
individual interests instructors,TRUE
interests instructors remind,TRUE
instructors remind students,TRUE
encourage equitable participation,TRUE
equitable participation among,TRUE
inappropriate behavior arises,TRUE
stand alone online,FALSE
alone online activity,FALSE
online activity however,FALSE
activity can incorporate,FALSE
can incorporate group,FALSE
incorporate group learning,FALSE
class activity groups,FALSE
activity groups need,TRUE
groups need access,TRUE
natural history traits,FALSE
group activity allows,FALSE
activity allows students,TRUE
student peers moreover,FALSE
computational modeling group,FALSE
modeling group activity,FALSE
group activity can,FALSE
activity can appeal,FALSE
non traditional learners,FALSE
improving science processing,FALSE
science processing skills,FALSE
processing skills helping,FALSE
skills helping students,TRUE
helping students make,TRUE
students make connections,TRUE
molecular biology nucleotide,FALSE
biology nucleotide sequences,FALSE
organismal biology species,FALSE
typical take home,FALSE
take home class,FALSE
home class assignment,TRUE
class assignment students,TRUE
disabilities can extend,TRUE
recommend educators initially,TRUE
educators initially demonstrate,FALSE
upload sequences subjected,FALSE
educators students can,TRUE
students can view,TRUE
can view materials,FALSE
view materials using,FALSE
materials using multiple,FALSE
using multiple forms,FALSE
image without image,FALSE
without image using,FALSE
interpreting simulation results,FALSE
simulation results etc,FALSE
results etc thus,FALSE
etc thus ultimately,FALSE
thus ultimately increasing,FALSE
lesson incorporates several,FALSE
learning udl guidelines,TRUE
online discussion board,FALSE
allows quieter students,TRUE
several parts allowing,TRUE
parts allowing flexibility,TRUE
much time students,TRUE
time students complete,TRUE
module provides options,FALSE
lesson provides multiple,FALSE
provides multiple means,FALSE
allowing individual choice,TRUE
photosynthesis less intimidating,FALSE
students thus increasing,TRUE
thus increasing interest,TRUE
peer leaders can,TRUE
leaders can act,TRUE
collaborative yet inclusive,TRUE
yet inclusive learning,TRUE
learning environment effective,TRUE
environment effective student,TRUE
effective student placement,TRUE
groups can ensure,FALSE
appropriate technology include,FALSE
technology include diversity,TRUE
using alternate names,TRUE
alternate names additionally,TRUE
names additionally instructors,TRUE
additionally instructors need,TRUE
refuse public release,TRUE
video tutorials presented,FALSE
help minimize student,FALSE
minimize student stress,FALSE
facilitate student learning,FALSE
using free web,FALSE
free web based,FALSE
web based bioinformatics,FALSE
based bioinformatics tools,FALSE
students towards conceptual,TRUE
towards conceptual understanding,FALSE
also allowed ample,FALSE
allowed ample time,FALSE
ample time outside,FALSE
complete assignments students,TRUE
assignments students may,TRUE
students may perform,TRUE
peer mentoring additionally,TRUE
entire lesson plan,FALSE
lesson plan may,FALSE
activities facilitate remote,FALSE
facilitate remote learning,FALSE
web based tools,FALSE
based tools presented,FALSE
remote inclusive teaching,TRUE
not require high,FALSE
require high end,FALSE
expensive computer systems,TRUE
computer systems nor,FALSE
require high speed,FALSE
high speed internet,FALSE
speed internet although,TRUE
internet although microbiome,TRUE
although microbiome datasets,TRUE
microbiome datasets can,FALSE
quite large students,TRUE
done virtually via,FALSE
dna subway similarly,FALSE
computational processes performed,FALSE
run virtually via,FALSE
cyverse infrastructure decreasing,FALSE
logged onto dna,FALSE
onto dna subway,FALSE
dna subway can,FALSE
successfully completed using,TRUE
allow students without,TRUE
no single answer,FALSE
students one possible,TRUE
one possible alternative,TRUE
possible alternative may,TRUE
students recommend based,TRUE
hypothesis generation step,FALSE
step performed along,FALSE
way students may,TRUE
students may still,TRUE
graph interpretation process,FALSE
interpretation process even,FALSE
emphasize graph interpretation,FALSE
utilizing active learning,TRUE
learning techniques known,FALSE
narrow achievement gaps,TRUE
large public midwestern,TRUE
public midwestern research,TRUE
midwestern research university,TRUE
met many people,FALSE
japanese scientists students,TRUE
scientists students can,TRUE
students can see,TRUE
science third research,FALSE
cooper et al,FALSE
et al revealed,FALSE
active learning strategies,TRUE
learning strategies may,FALSE
strategies may increase,FALSE
may increase anxiety,TRUE
lesson structure takes,FALSE
structure takes measures,FALSE
example students know,TRUE
students know ahead,TRUE
expect peer discussion,FALSE
instructor also allows,FALSE
discussion results rather,FALSE
random call fourth,FALSE
instructor made efforts,FALSE
asked solo students,TRUE
instructor facilitated introductions,TRUE
group nearby finally,FALSE
nearby finally introducing,FALSE
finally introducing research,FALSE
introducing research literature,FALSE
undergraduate course not,FALSE
improves students ability,TRUE
interpret research articles,TRUE
model course based,FALSE
course based undergraduate,FALSE
based undergraduate research,FALSE
undergraduate research experience,FALSE
maximize educational equity,TRUE
educational equity studies,TRUE
equity studies demonstrate,TRUE
studies demonstrate marginalized,TRUE
demonstrate marginalized students,TRUE
color low income,TRUE
low income students,TRUE
income students first,TRUE
students first generation,TRUE
first generation students,TRUE
generation students student,TRUE
students student veterans,TRUE
undergraduate research experiences,FALSE
experience compensatory gains,FALSE
research experience early,FALSE
historically marginalized students,TRUE
historically marginalized student,TRUE
marginalized student populations,TRUE
equitable teaching techniques,TRUE
second year courses,FALSE
existing courses democratizes,TRUE
courses democratizes research,TRUE
required laboratory section,FALSE
special topics course,FALSE
independent study model,FALSE
study model cures,FALSE
model cures work,FALSE
core student experience,FALSE
therefore minimize barriers,TRUE
historically marginalized populations,TRUE
fostering high expectations,TRUE
high expectations forming,FALSE
de risking failure,TRUE
risking failure supports,TRUE
importantly cures provide,FALSE
cures provide opportunities,TRUE
academic year unlike,FALSE
year unlike traditional,FALSE
unlike traditional summer,FALSE
traditional summer research,FALSE
summer research projects,FALSE
reus cures thereby,FALSE
cures thereby remove,FALSE
seas cure thus,FALSE
cure thus provides,FALSE
authentic research experiences,TRUE
students know much,TRUE
prior academic work,FALSE
academic work however,FALSE
coral reef decline,FALSE
reef decline almost,FALSE
urgent students quickly,TRUE
students quickly grasp,TRUE
work demands skills,FALSE
solve large global,FALSE
large global challenges,FALSE
global challenges encompasses,FALSE
challenges encompasses not,FALSE
gender ethnicity religion,TRUE
ethnicity religion socioeconomic,TRUE
religion socioeconomic status,TRUE
socioeconomic status personality,TRUE
making connections across,TRUE
connections across ecological,TRUE
across ecological organismal,FALSE
ecological organismal physiological,FALSE
empower inclusive research,TRUE
inclusive research teams,TRUE
research teams instructors,TRUE
teams instructors must,TRUE
collaborative work including,TRUE
work including effective,FALSE
including effective communication,FALSE
effective communication conflict,FALSE
communication conflict management,TRUE
key learning objective,FALSE
undergraduate biology education,FALSE
biology education report,FALSE
implementing teaching approaches,TRUE
equitable collaboration skills,TRUE
carnegie mellon university,FALSE
resource offers suggestions,FALSE
ensures interdependence among,FALSE
complex problems require,FALSE
problems require diverse,TRUE
require diverse skills,TRUE
diverse skills perspectives,TRUE
implementing cures work,TRUE
students can establish,TRUE
sea system instructors,FALSE
system instructors can,FALSE
instructors can use,FALSE
simple laboratory activities,FALSE
laboratory activities embedded,FALSE
activities embedded within,FALSE
system instructors scaffold,FALSE
instructors scaffold subsequent,FALSE
scaffold subsequent work,FALSE
subsequent work allowing,FALSE
work allowing students,TRUE
lab activity students,TRUE
reassures many students,TRUE
experience almost every,FALSE
almost every student,FALSE
enzyme activity data,FALSE
two week series,FALSE
discipline quantitative analysis,FALSE
teaching discussion however,FALSE
bring every student,FALSE
every student along,FALSE
extensive peer teaching,FALSE
undergraduate teaching assistants,FALSE
laboratory exercise illustrates,FALSE
e o wilson,FALSE
every scientist whether,FALSE
scientist whether researcher,FALSE
whether researcher technologist,FALSE
level bacterial physiology,FALSE
bacterial physiology course,FALSE
also enrolls students,TRUE
disciplines sometimes even,FALSE
sometimes even including,FALSE
often junior senior,FALSE
junior senior undergraduate,FALSE
senior undergraduate level,FALSE
first second year,FALSE
second year graduate,FALSE
year graduate level,FALSE
graduate level students,TRUE
nationality many use,TRUE
many use english,TRUE
second possibly third,FALSE
possibly third language,FALSE
stem learning activity,FALSE
intrinsic cultural component,TRUE
three sisters concept,FALSE
sisters concept developed,FALSE
book braiding sweetgrass,FALSE
citizen potawatomi nation,TRUE
potawatomi nation includes,TRUE
stem science course,FALSE
science course communicates,FALSE
especially important since,FALSE
important since evidence,FALSE
deliberate pedagogical choice,FALSE
include diverse cultures,TRUE
stem science classroom,FALSE
science classroom another,FALSE
classroom another strategy,FALSE
another strategy promoted,TRUE
meet universal design,TRUE
learning udl requirements,TRUE
create learning experiences,FALSE
widest audience possible,FALSE
two gratitude interventions,TRUE
canvas learning management,TRUE
learning management system,TRUE
multiple devices including,FALSE
devices including computers,FALSE
including computers smart,TRUE
computers smart phones,TRUE
visually impaired students,TRUE
interventions also contains,FALSE
also contains properly,FALSE
contains properly organized,FALSE
properly organized heading,FALSE
organized heading structures,FALSE
heading structures students,TRUE
structures students can,TRUE
students can also,TRUE
can also elect,FALSE
online gratitude interventions,TRUE
choose gratitude interventions,TRUE
gratitude interventions also,TRUE
interventions also acknowledge,FALSE
write three letters,FALSE
quite often students,TRUE
often students think,TRUE
real patient jill,TRUE
patient jill viles,TRUE
muscular dystrophy jill,FALSE
also correctly hypothesizes,FALSE
olympic athlete priscilla,FALSE
athlete priscilla lopes,FALSE
priscilla lopes schliep,FALSE
journey includes interactions,TRUE
addition diverse students,TRUE
diverse students learn,TRUE
students learn well,TRUE
illustrative case studies,FALSE
ethical discussion beyond,TRUE
discussion beyond muscular,FALSE
beyond muscular dystrophy,FALSE
included optional debate,FALSE
optional debate questions,FALSE
disabilities can build,TRUE
can build communities,TRUE
build communities engaging,TRUE
communities engaging students,TRUE
large group discussion,FALSE
small group work,FALSE
increases student achievement,TRUE
persistence develops communication,FALSE
favorable attitudes toward,TRUE
toward science reviewed,FALSE
group work facilitates,FALSE
work facilitates learning,FALSE
ethnically diverse mixed,TRUE
diverse mixed gender,TRUE
problem solving collaborate,TRUE
solving collaborate better,TRUE
homogenous groups reviewed,FALSE
bring different perspectives,TRUE
discussion students formed,TRUE
students formed small,TRUE
formed small groups,FALSE
small groups leveraging,FALSE
groups leveraging different,FALSE
leveraging different experiences,FALSE
