Title,DOI,Article Type?,Year ,Courses:,keyword themes,Inclusive Teaching  included?,Inclusive Teaching Description,Word Count of Inclusive Teaching?,,,Notes,,
Splicing it Together: Using Primary Data to Explore RNA Splicing and Gene Expression in Large-Lecture Introductory Biology,Https://doi.org/10.24918/cs.2022.11,Lesson,2022,"Biochemistry and Molecular Biology, Cell Biology, Genetics, Introductory Biology","gene regulation, transcription, gene expression, central dogma, repressor, alternative splicing, mRNA processing, Activator, Transcription factors",Yes,"By having students work together in small groups, we are encouraging more students to participate in the material than in a traditional lecture environment. We embedded the argumentation module within the context of a big question with real-life relevance to increase student motivation and participation. There is no single right answer that emerges from the data which invites groups to privilege sharing of different ideas. We also used multiple and varied modes of low-stakes assessments which allows learners to display diverse ideas and ways of knowing. By inviting small groups to share out to the whole class, the instructor is creating opportunities for students’ cultural funds of knowledge to gain visibility. This is particularly important for underrepresented students as without such opportunities there could be culturally driven interpretations of the biology information that may be invisible to the instructor.
",139,,,,,1
Medical Student Opinions of a Gross Anatomy Course Aided with Prosection,Https://doi.org/10.24918/cs.2022.12,Teaching Tools and Strategies,2022,Anatomy-Physiology,"Gross Anatomy, Structure function relation, Morphological variation, Prosected specimen as teaching tool",,,,,,,,
Sequences and Properties of Gluten Proteins From Different Grains: A Virtual-Friendly Protein Laboratory,Https://doi.org/10.24918/cs.2022.13,Lesson,2022,"Biochemistry and Molecular Biology, Bioinformatics","protein structure and function, Protein sequence, intermolecular forces, Biomacromolecules",yes,"A major consideration in the design of this laboratory was accessibility for nearly all students, regardless of income level, living arrangement (on-campus versus with family), or background. Therefore, inexpensive and easily available kitchen ingredients and tools are used, and there is no need for any electronic instrument other than a smartphone or digital camera. Instructors are encouraged to consider using flours from the culinary traditions of diverse cultures; sequences of glutenin proteins (or analogues) from a variety of domesticated grains can be found in UniProt. Additionally, the connection of protein structure to cooking and food crops makes the laboratory engaging and relatable to a wide range of students, particularly those in applied disciplines related to biology, including nutrition, food science, and agricultural sciences. The emphasis on tactile, as opposed to visual/auditory sensory input, makes this laboratory particularly helpful for students with visual or hearing impairments; these students may further benefit from subtitling or narration of the instructional videos as deemed appropriate by the instructor.
",164,,,,,
Role of Crop Genetic Diversity on Pathogen Impact: The Tale of Two Pathogens,Https://doi.org/10.24918/cs.2022.14,Lesson,2022,"Introductory Biology, Plant Biology, Science Process Skills","plant pathology, genetic diversity, Disease Triangle, Modes of Reproduction",Yes,"Using the Jigsaw method leverages different student abilities and perspectives, as students are given the opportunity to learn about an aspect of each story, confer with their peers, and then share this information within their groups. The “expert conference” step enables students of varying abilities to demonstrate their learning and learn from others at the same time. The data analysis exercise on day two also illustrates the value of different perspectives and uncertainty in science.

The gallery walk simulates a brief scientific poster session with students asking and answering questions of their peers. Providing students with the opportunity to practice the skills of being a scientist increases their feelings of belonging and identity as scientists (20).
",115,,,,,
A Laboratory Module That Explores RNA Interference and Codon Optimization Through Fluorescence Microscopy Using Caenorhabditis elegans,Https://doi.org/10.24918/cs.2022.15,Lesson,2022,"Bioinformatics, Cell Biology, Developmental Biology, Genetics, Science Process Skills","microscopy, C. elegans, quantitative analysis, inquiry-based learning, gene expression, RNA interference, Codon Usage, Laboratory Module",Yes,"We have designed this module to be all-inclusive by differentiating content and lesson material to reach all types of learners. The hands-on activities of this module capture the attention and engagement of kinesthetic and tactile learners. Our short lectures that contain images, provide written instruction, and facilitate discussion amongst the class are accommodating to both visual and auditory learners. Given that Stony Brook University consists of a highly diverse population of students, during group activities, we can easily divide our class into diversified groups at random using a freely available random name picking software called Wheel Decide. We highly recommend that instructors utilize this tool given that it avoids any self-selection or instructor selection biases.

To ensure that students feel welcomed, we establish classroom “etiquette”, similar to that suggested by Tanner 2013, where we emphasize that all students are expected to support one another and share their ideas in a judgement free manner (36). On the first day of class, we implemented an ice-breaker activity, called “catch the ball”, where all students and faculty “threw” around an imaginary ball to one another, and those who “caught” the ball on a turn introduced themselves, shared their interests, hobbies, and goals. We suggest a similar activity be implemented during the start of the course so that instructors can familiarize themselves with their students. To further create an inclusive learning environment, we ensure that all students have the means to be successful in the module. We ensure class material for the lesson is posted on Blackboard and/or in Google Drive in a timely fashion so that students can access it prior to the start of class and afterwards. For students who may not have equal access to technology, we provide hard copies, as well as digital copies, of assignments and lab protocols. We also hold office hours on request and have discussion boards available so everybody can benefit from each other's questions and/or discussions. Moreover, based on information obtained from class assessments (see above) and observations, students who have difficulties with any of the class content receive extra support and guidance as needed. Thus, the module ensures equity and inclusivity by reaching all types of learners and ensuring students receive the support they need to succeed in the module.
",375,,,,,
Mock Drug Activity Enhances Student Learning About the Challenges of HIV/AIDS Therapy,Https://doi.org/10.24918/cs.2022.16,Lesson,2022,Microbiology,"drug resistance, Retrovirus, Viral replication",Yes,"In small groups, students answer questions about the drug activity to compare their experience with other students in the group. Student experiences could be different based on several factors, including drug therapy protocol assigned, previous experience taking regular medication, and class/work schedules. The small group discussion allows students to appreciate how their experience was different from other students in the group even if they were assigned to the same drug protocol. In the class wide discussion students can compare their group responses to the rest of the class. Most recently, I have used the response software Poll Everywhere (polleverywhere.com) to survey the class on these questions. Response software allows students to contribute to the discussion that may otherwise not feel comfortable speaking to the whole class. Students also often discuss this activity with family and friends and can observe public attitudes about HIV/AIDS through these interactions. In the United States HIV/AIDS disproportionally affects members of the LGBTQ, Black/African American, and Hispanic/Latino communities (9). Therefore, this activity reveals the impact of science in diverse communities.
",174,,,,,
Workshop Report: Summer 2020 Virtual CRISPR in the Classroom,Https://doi.org/10.24918/cs.2022.17,Review,2022,"Biochemistry and Molecular Biology, Bioinformatics, Genetics, Professional Development and Career Planning","genetics, crispr, Genome Analysis, gene editing, bacterial immunity",Yes,"This report aims to highlight the utility of a virtual workshop to provide professional development and support to a diverse audience of instructors on an emerging topic of importance in biology. Short sessions over multiple days offered free of charge made it possible for an economically, geographically, and institutionally diverse cohort to participate in the proceedings. Workshop content also emphasized cost-effective virtual and hands-on resources for instructors to use to readily incorporate the topic of CRISPR biology into the curriculum at their home institutions at any level of course instruction. 
",91,,,,,
Responsible and Ethical Conduct of Research: Instruction on Plagiarism,Https://doi.org/10.24918/cs.2022.18,Lesson,2022,science process skills,"writing, ethics, plagiarism, paraphrase, quote",Yes,"The Lesson is designed to be accessible to a variety of individuals, including those with vision loss, because the instruction is almost entirely text-based and image alt text tags are used where appropriate in the instructional materials. The use of small group discussion following large group report-outs gives both extroverts and introverts time to formulate a response before providing a well-reasoned response. The content of the Lesson is also broadly applicable to all students, especially in the context of a laboratory course, in which all students will produce research reports that should contain citations. For example, one study suggests that students may be more prone to plagiarism when writing in a language that is not their native language (16), and providing instruction in plagiarism might help address that issue (6).",130,,,,,
s Earth Currently Undergoing a Sixth Mass Extinction?,Https://doi.org/10.24918/cs.2022.19,Lesson,2022,"Ecology, Evolution, Introductory Biology","conservation, Biodiversity, extinction, Mass Extinction, Deep Time",Yes,"This lesson focuses on several inclusive teaching practices related to community building. Students are asked to work collaboratively in small groups and to discuss poll questions. Poll questions are graded based on participation rather than selection of the correct answer. This grading policy encourages students to seek help when they are incorrect, rather than be concerned about their grade (12). Throughout the lesson, students are encouraged to share their opinions and unique perspectives on how to combat various societal challenges, including conservation and climate change, while respecting peers who may hold perspectives and opinions different from their own. When we taught this lesson, students disagreed regarding whether current biodiversity losses amount to a mass extinction event. Students also held differing views about the role of government in conservation. Despite these differences, discussion remained respectful, and students were receptive to alternative viewpoints. We encourage instructors to remind students to be respectful throughout the semester and to consider creating community guidelines for appropriate discussion behaviors.

Student socioeconomic diversity was also considered throughout the design of this lesson. To prevent economic barriers, students are not required to purchase any textbooks or other supplementary materials to participate in this lesson. Additionally, all assessment questions can be answered based on information provided on lecture slides and do not require outside resources. We also expose students to the work of under-acknowledged scientists. For example, we present the efforts of Marjorie Courtenay-Latimer, who was one of few woman museum curators in the early 1900s, toward preserving a coelacanth specimen (Supporting File S4. 6th Mass Extinction–Class Session I Slides, Slide 16) with the goal of highlighting scientific contributions made by individuals of varied backgrounds (13).

Finally, students are provided with multiple means to achieve the desired learning objectives including discussion, writing, images and diagrams, and poll questions. Similarly, students are offered multiple formats of assessment questions including written and multiple choice to provide an opportunity for each student to display their knowledge of key concepts.",325,,,,,
"
A Modeling Exercise in Sexual Selection using a Student-Created Bird Species",Https://doi.org/10.24918/cs.2022.20,Lesson,2022,"Ecology, Evolution, Introductory Biology","Evolution, fitness, sexual selection, Natural Selection, intersexual selection, mate choice",yes,"In this lesson, we use the terms “flashy” birds to indicate bird sexes characterized by more coloration, distinct patterns, and complicated song and mating rituals, and “less flashy birds” to indicate bird sexes that have more subdued coloration, less vibrant patterns, and simpler (or no) song and mating rituals. While male birds are often flashier than females, we wanted to emphasize to students that not all bird species follow this trend (e.g., species in which the females tend to have more influence or choice during the mating process) and to avoid supporting misconceptions related to heteronormative behaviors during sexual selection (4-8).

This activity has the potential to engage many students, as students tend to be interested in organisms they encounter or observe in their daily lives (e.g., birds).

This lesson encompasses a variety of learning modalities in which students are required to use multiple senses to accomplish tasks, such as creating flashy birds out of modeling dough as well as oral and visual sharing of models at the end of the class period.

This activity requires students to collaborate in both small groups and as a whole class, so there is also the potential that students will form novel connections with their peers during the lesson.
",203,,,,,
Escape Zoom!: Reviewing Introductory Evolution Content Using an Escape Room Format,https://doi.org/10.24918/cs.2022.21,Lesson,2022,"Ecology, evolution, genectics","Evolution, artificial selection, Speciation, extinction, sexual selection, phylogenetic trees, mechanisms of evolution",yes,"This lesson incorporates a range of learning modalities and course learning objectives; for example, students are asked to solve crossword puzzles, role-play, and present ideas or findings to instructors and/or the entire class. Thus, students are using multiple senses (e.g., oral, visual, mechanical) to complete each escape room activity.

Students have multiple opportunities to express agency and creativity during this lesson; one particularly strong example of this—which also allows students to explore evolutionary biologists with diverse identities—is the activity which asks students to explore the Project Biodiversify website and summarize three novel things they learned about their chosen biologist.

This activity requires students to work in small groups (e.g., in Zoom breakout rooms), interact with the instructors (e.g., to receive approval before progressing to the next activity), and share ideas with the entire class, so there is potential to foster a sense of community and collaboration throughout the two-day lesson.
",148,,,,,
Integrating Community Ecology Into the Study of Parasites: Exploring the Effect of Host Behavior on Parasite Transmission Rates,https://doi.org/10.24918/cs.2022.22,Lesson,2022,"Ecology, Science Process Skills","statistics, species interactions, Quantitative reasoning, graphs, Community Ecology, Parasitology, food webs",yes,"Many of the case studies used to illustrate the principles of parasitology involve human health and well-being and provide a wealth of opportunities to model respectful and inclusive ways of discussing the diverse lives and experiences of humans around the world. For example, lecture material in the ecology and evolution unit of this course included discussions of human diseases (e.g., hookworm, malaria) and ecological issues (e.g., amphibian loss to chytrid fungus) that disproportionately affect people living in tropical regions and the Global South (19). In discussing these topics, we were careful to counteract harmful and pervasive stereotypes that associate parasite risk with the behaviors and cultural markers of certain groups of people, and not to invoke colonialist assumptions about the economic development and public health infrastructure of regions affected by these ecological problems and diseases (20). Wherever possible, we also focused on research of scientists living in the regions most affected by the subject of their study.

Due to the inherent intertwining of human experiences with health- and environment-related topics in parasitology, there are ample opportunities in this kind of course for engaging students with activities that will allow them to reflect critically on the intersections of social equity, public health, and their own assumptions through a socio-scientific issues framework (21, 22). For example, the link between hookworm infection, anemia, and impaired cognitive development is often illustrated in parasitology textbooks through the story of Charles Stiles’ 1902 announcement of the discovery of the “germ of laziness” in the American Southeast and subsequent public health initiatives funded by John D. Rockefeller (e.g., 2, page 360). While this narrative conveys real historical events and biology, the commonly used structure of the story tacitly reinforces harmful stereotypes about the populations that were affected. It also ignores important historical context where public messaging around this biological discovery was used to support and spread racist and classist ideologies in public health and popular culture (23). Teaching such material can be made more inclusive by integrating an explicit discussion of the social context in which the scientific discoveries were made, and the role scientific information and subsequent interpretation play in constructing both public policy and public narratives (see 21, 22).
",363,,,,,
Metastatic Mastery: A Case and Game-Based Approach to Learning About Cancer Mechanisms,https://doi.org/10.24918/cs.2022.23,Lesson,2022,"Biochemistry and Molecular Biology, Genetics, Introductory Biology
","mutation, cancer, transcription, cell cycle, translation, Oncogenes, Tumor-suppressor, p53, Transcription factor",yes,"Students come in with different levels of background knowledge and motivations to learn. Working in teams provides them an opportunity to share their experiences and knowledge with peers.
The mixed active learning approach used in this lesson provides diverse forms of engagement for students.
The case narrative can facilitate connections and discussions among students who have known someone affected by cancer.
The card game Metastatic Mastery provides an opportunity for students to engage in a way that minimizes student discomfort.
The use of non-gendered pronouns for the central character in the case study facilitates inclusive teaching in biology.",94,,,,,
Application of a Bacterial Experimental Evolution System to Visualize and Teach Evolution in Action: A Course-Based Undergraduate Research Experience,https://doi.org/10.24918/cs.2022.24,Lesson,2022,"Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Evolution, Genetics, Microbiology","Evolution, mutation, competition, Natural Selection, regulation, structure and function, reproductive fitness, genotype to phenotype, homologs",yes,"This course includes varied types of instruction (discussion, hands-on activities, open-ended inquiry, mini-lectures) and multiple modes of assessment as noted above, both of which are inclusive teaching strategies that provide students with a variety of ways to learn and demonstrate competence (22, 23). Numerous opportunities for low-stakes formative feedback are provided early on through drafts of written work and paper analyses (24). Furthermore, all assignment instructions are designed using principles of transparency shown to improve sense of belonging and success for students from marginalized backgrounds (25). In keeping with transparency practices, detailed rubrics and guidelines are provided for all assessments to ensure that students are aware of what is expected of them.

Additionally, the instructors serve as guides and research mentors rather than coming from a place as the absolute holders of knowledge and authority in the classroom. For example, students are empowered with the agency to make their own decisions about experiments, such as choosing which mutant strains to work with. Because analyses of primary journal articles and student-generated data take place through small-group discussion, peer instruction is emphasized over instructor-led lectures.

By its nature, this course makes a mentored research experience accessible to all enrolled students and enables participation in scientific inquiry, which together can help students develop a sense of belonging in science (13). All materials and resources for this course were provided by Duquesne University, granting equal access to learning and experimental procedures regardless of the background or need of our students. Adaptations to this protocol may be made to accommodate students with disabilities or students at an increased risk of infection from microorganisms. This course is taught under the context of microevolution and does not infringe on religious beliefs related to macroevolution. Finally, by discussing how diversity provides source material upon which natural selection can act, the course content fosters appreciation for the value of existing diversity in a population for the overall fitness of that species.
",320,,,,,
"Animal Behaviour Case Study Lessons in Communication, Migration, and Parental Care Using the Jigsaw Approach",https://doi.org/10.24918/cs.2022.25,Lesson,2022,"Ecology, Evolution, Science Process Skills","case study, communication, primary literature, animal behavior, jigsaw, Parental Care, migration, Animal Behaviour, Proximate mechanisms",Yes,"Case Studies using the Jigsaw method rely on the creation of an environment in which students are comfortable learning and thinking on their own and as part of a group. Case Studies create this type of environment by allowing time for individual learning and structured small-group discussion. In both cases, students are aware that there is not a single correct answer. During the individual learning stages, students are presented with information through both text and visualizations, and can take notes by writing, drawing, or preparing an oral summary. Students are also given the option to share their learning in a way that they are most comfortable with, as long as it is within the time-limit. Many students used both a prepared oral summary with their drawings to communicate with other students. This promotes individual ownerships of the learning materials and comfort in sharing ideas before groupwork.

Student groups for the discussion were formed randomly and then ‘shuffled’, allowing communication among students who may not interact on a day-to-day basis. This has the effect of increasing within-group cognitive, cultural, gender and personal identity (or hidden identities) diversity. Increasing diversity in groupwork can improve group-level problem-solving and individual learning (75–77). Within each group, students were given specific times to share their knowledge and take notes on others’ contributions. Ensuring that time was equally distributed among group members provides an opportunity for different ideas to emerge and for ensuring contributions from all students. Inclusive group work has been shown to have positive effects on individual- and group-level learning (78, 79). This type of active learning is student-centered, a strategy believed to improve student learning as well as student attitudes and experiences regarding biology (74).",280,,,,,
Pesticides in My Smoothie Bowl?,https://doi.org/10.24918/cs.2022.26,Lesson,2022,Toxicology,"data analysis, toxicology, chemical toxicity, ecological risk assessment, human risk assessment, pesticide",yes,"The lesson introduces risk assessment through conversations between three friends about pesticides in food. Because food is such an integral part of everyday life, this introduction provides an interesting start point for all students to explore the lesson and learn about risk assessment. Additionally, students have an opportunity to select pesticides and foods of their interest to investigate in Part 4. This will allow students of different backgrounds to participate in the lesson based on their preference for food and pesticide. This lesson requires a computer, Microsoft Excel, and an Internet connection, which are readily available even in institutions with limited resources. Due to the recent transition to online learning, schools normally provide free computers and WiFi hotspots as well as computer labs on campus, which allow students to complete online coursework. If free Microsoft Excel is not available, students can use Google Doc and Google Sheet (free with a Gmail account) to view the lesson and the dataset and complete data analysis. We also recommend think-pair-share or group work while going through the questions to encourage participation of students who may struggle with the questions.
",186,,,,,
